id,serial
728799,4481
1529704,17052
1619390,17174
1637256,17378
1645171,17423
1654117,17478
1656807,17486
1660877,17529
1663680,17544
1666487,24017466
1666529,26017585
1667796,27017619
1668865,29017245
1674844,24017757
1676906,22017791
1676923,23017784
1680906,18025
1681205,18046
1718255,181120
1747339,18305
1747555,18312
1748124,2522
1750418,18451
1751208,18451
1751938,18487
1753391,18056
1753867,18538
1755246,18081
1759078,18834
1773500,18894
1774102,18909
1775051,18541
1775061,18920
1775064,18914
1775068,18922
1775069,18921
1775082,18919
1775123,18918
1775139,18925
1775141,18923
1775248,18930
1775249,18927
1775253,18931
1775335,18929
1775338,18928
1775342,18933
1775344,18937
1775362,18939
1775405,18936
1775409,18938
1775413,18932
1775416,18935
1775445,18941
1775451,18942
1775501,18934
1775546,18950
1775547,18951
1775550,18955
1775551,18958
1775595,18959
1775601,18952
1775603,18959
1775605,18717
1775651,18954
1775654,18957
1775655,18953
1775657,18945
1775662,18948
1775668,18956
1775669,18949
1775781,18966
1775784,18964
1775785,18967
1775929,18969
1775946,18968
1776025,18975
1776026,18970
1776055,18974
1776057,18976
1776133,18982
1776137,18980
1776138,18972
1776225,18981
1776229,18983
1776235,18977
1776238,18973
1776240,18979
1776303,18986
1776311,18295
1776315,18981
1776319,18985
1776411,18987
1776436,18992
1776442,18991
1776446,18990
1776600,19005
1776602,19008
1776607,19004
1776608,19001
1776618,19007
1776622,19011
1776624,18997
1776654,19010
1776690,19003
1776698,18995
1776705,18994
1776706,19009
1776749,18913
1776811,19006
1776813,19000
1776814,18999
